snapped_at,price,market_cap,total_volume,hash_rate
2013-09-03 00:00:00 UTC,137.5100,1601702729.0000,0.0000,702717441906798
2013-09-04 00:00:00 UTC,135.2100,1575534525.0000,0.0000,634079924325204
2013-09-05 00:00:00 UTC,129.9600,1514888487.0000,0.0000,704398591757548
2013-09-06 00:00:00 UTC,126.1300,1470861842.0000,0.0000,773542011807369
2013-09-07 00:00:00 UTC,123.7300,1443353756.0000,0.0000,799470794326051
2013-09-08 00:00:00 UTC,121.7700,1420952396.0000,0.0000,626612244201500
2013-09-09 00:00:00 UTC,126.4000,1475596760.0000,0.0000,678469809238865
2013-09-10 00:00:00 UTC,127.7800,1492304286.0000,0.0000,877257141882100
2013-09-11 00:00:00 UTC,131.6500,1538132775.0000,0.0000,825399576844734
2013-09-12 00:00:00 UTC,134.2200,1568874092.0000,0.0000,864292750622758
2013-09-13 00:00:00 UTC,135.0500,1579271324.0000,0.0000,920471779413238
2013-09-14 00:00:00 UTC,131.3900,1537187451.0000,0.0000,881578605635214
2013-09-15 00:00:00 UTC,129.9500,1520967287.0000,0.0000,942079098178807
2013-09-16 00:00:00 UTC,131.4800,1539430293.0000,0.0000,1013381989514710
2013-09-17 00:00:00 UTC,131.3100,1538014334.0000,0.0000,862214510415831
2013-09-18 00:00:00 UTC,132.0600,1547280990.0000,0.0000,1002184398470340
2013-09-19 00:00:00 UTC,130.2300,1526484433.0000,0.0000,923801261159819
2013-09-20 00:00:00 UTC,128.5700,1507618248.0000,0.0000,1063771149214330
2013-09-21 00:00:00 UTC,126.7800,1487211807.0000,0.0000,1119759104436140
2013-09-22 00:00:00 UTC,128.3700,1506534274.0000,0.0000,1058172353692150
2013-09-23 00:00:00 UTC,126.7300,1487984454.0000,0.0000,1136555491002680
2013-09-24 00:00:00 UTC,126.0900,1481135098.0000,0.0000,1175747059657950
2013-09-25 00:00:00 UTC,127.9900,1504122481.0000,0.0000,1186944650702310
2013-09-26 00:00:00 UTC,128.0200,1505025524.0000,0.0000,1153351877569220
2013-09-27 00:00:00 UTC,131.8400,1550524096.0000,0.0000,1198450492836300
2013-09-28 00:00:00 UTC,133.9300,1575663012.0000,0.0000,1316815973610260
2013-09-29 00:00:00 UTC,140.2800,1650965841.0000,0.0000,1309418131061890
2013-09-30 00:00:00 UTC,131.6500,1549941780.0000,0.0000,1257633233223280
2013-10-01 00:00:00 UTC,132.5500,1561200410.0000,0.0000,1205848335384680
2013-10-02 00:00:00 UTC,132.0400,1555751397.0000,0.0000,1383396556545610
2013-10-03 00:00:00 UTC,123.0700,1450746083.0000,0.0000,1412987926739100
